YTD Total Jan-Nov 2012,ISSN,ID,TITLE
46898,0038-1098,6334,Solid State Communications
32313,0308-8146,2389,Food Chemistry
30952,0375-9474,5258,Nuclear Physics A (formerly part of Nuclear Physics)
25103,1520-5126,4380,Journal of the American Chemical Society
24228,0022-3115,4093,Journal of Nuclear Materials
22440,0960-8524,869,Bioresource Technology (incorporating Energy in Agriculture) (incorporating Biomass) (formerly known as Biological Wastes)
21763,0021-9673,3555,Journal of Chromatography A
21375,0012-821X,1846,Earth and Planetary Science Letters
20933,0273-1177,174,Advances in Space Research
20578,1352-2310,704,Atmospheric Environment (incorporating Atmospheric Environment. Part A. General Topics and Atmospheric Environment. Part B. Urban Atmosphere)
20444,0140-6736,4538,"Lancet, The"
19198,0304-3894,3838,Journal of Hazardous Materials
18769,0031-9422,5586,Phytochemistry
17663,0038-1101,6338,Solid-State Electronics
17579,0301-4215,2009,Energy Policy
16702,0043-1354,6822,Water Research
16250,0040-4020,6569,Tetrahedron
16249,0377-2217,2173,European Journal of Operational Research
16171,0957-4174,2284,Expert Systems with Applications
15870,0168-583X,5255,Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms (formerly part of Nuclear Instruments and Methods in Physics Research)
15368,1520-5118,3408,Journal of Agricultural and Food Chemistry
15285,0360-3199,3097,International Journal of Hydrogen Energy
15273,0360-1315,1469,Computers & Education
15168,0921-4534,5540,Physica C: Superconductivity (formerly part of Physica B+C)
15056,0040-4039,6570,Tetrahedron Letters
14992,1364-0321,5954,Renewable and Sustainable Energy Reviews
14372,0927-7757,1339,Colloids and Surfaces A: Physicochemical and Engineering Aspects (formerly part of Colloids and Surfaces)
14221,0048-9697,6166,Science of the Total Environment
13507,0045-6535,1179,Chemosphere (incorporating Chemosphere - Global Change Science)
13432,1077-3118,534,Applied Physics Letters (AIP)
13185,1521-3773,378,Angewandte Chemie International Edition
13156,0960-1481,5955,Renewable Energy
12598,0003-2670,363,Analytica Chimica Acta
12409,0378-7788,2004,Energy and Buildings
12187,0003-4916,431,Annals of Physics
12146,0168-1605,3071,International Journal of Food Microbiology
12074,0950-0340,4034,Journal of Modern Optics
11866,1520-6904,4113,"Journal of Organic Chemistry, The"
11785,1089-7550,3449,Journal of Applied Physics (AIP)
11455,0096-3003,522,Applied Mathematics and Computation
11113,0550-3213,5259,Nuclear Physics B (formerly part of Nuclear Physics)
11004,0378-7753,4204,Journal of Power Sources
10630,0306-2619,510,Applied Energy
10325,1520-5835,4692,Macromolecules
10195,0360-5442,2003,"Energy (incorporating Exergy, An International Journal)"
10073,0735-1097,4381,Journal of the American College of Cardiology
10029,0261-5177,6634,Tourism Management (formerly known as International Journal of Tourism Management)
9992,0022-4073,4242,Journal of Quantitative Spectroscopy and Radiative Transfer
9756,0927-7765,1340,Colloids and Surfaces B: Biointerfaces (formerly part of Colloids and Surfaces)
9505,0969-8043,537,Applied Radiation and Isotopes (formerly known as International Journal of Radiation Applications and Instrumentation. Part A. Applied Radiation and Isotopes)
9372,0032-0633,5596,Planetary and Space Science
9256,0956-7135,2390,Food Control
9233,1932-7455,1292,"Journal of Physical Chemistry C, The"
9099,0301-4797,3739,Journal of Environmental Management (incorporating Advances in Environmental Research)
9069,0142-9612,850,Biomaterials (incorporating Clinical Materials)
8982,0898-1221,1475,Computers & Mathematics with Applications
8918,0260-8774,3800,Journal of Food Engineering
8918,0032-3861,5665,Polymer (incorporating Computational and Theoretical Polymer Science)
8845,0360-1323,972,Building and Environment (formerly known as Building Science)
8844,0022-4596,4321,Journal of Solid State Chemistry
8686,0956-053X,6815,Waste Management (formerly known as Nuclear and Chemical Waste Management)
8663,1520-5827,4548,Langmuir
8527,1520-510X,2902,Inorganic Chemistry
8507,0141-0296,2021,Engineering Structures
8477,1089-7690,3545,Journal of Chemical Physics (AIP)
8389,1385-8947,1146,"Chemical Engineering Journal (formerly part of Chemical Engineering Journal and the Biochemical Engineering Journal, The)"
8372,0889-5406,311,American Journal of Orthodontics and Dentofacial Orthopedics (formerly known as American Journal of Orthodontics)
8357,0038-092X,6329,Solar Energy
8345,1521-3749,6926,Zeitschrift fur anorganische und allgemeine Chemie
8323,0006-291X,792,Biochemical and Biophysical Research Communications
8308,0021-9797,3587,Journal of Colloid and Interface Science (formerly known as Journal of Colloid Science)
8290,1520-4804,4013,Journal of Medicinal Chemistry
8281,0040-1951,6550,Tectonophysics
8273,0148-2963,3519,Journal of Business Research
8248,0370-1573,5577,Physics Reports (incorporating Computer Physics Reports)
8214,0044-8486,547,Aquaculture (incorporating Annual Review of Fish Diseases)
8142,0039-9140,6507,Talanta
8121,0010-4655,1459,Computer Physics Communications
8085,0960-894X,863,Bioorganic & Medicinal Chemistry Letters
8020,1520-5851,2065,Environmental Science & Technology
8006,0169-4332,542,Applied Surface Science (formerly known as Applications of Surface Science)
7931,0040-6090,6606,Thin Solid Films
7891,0277-9536,6287,"Social Science & Medicine (incorporating Social Science & Medicine. Part A, Social Science & Medicine. Part B, Social Science & Medicine. Part C, Social Science & Medicine. Part D, Social Science & Medicine. Part E and Social Science & Medicine. Part F)"
7849,0378-4266,3484,Journal of Banking & Finance
7833,0191-8869,5483,Personality and Individual Differences
7794,0968-0896,862,Bioorganic & Medicinal Chemistry
7716,0016-2361,2431,Fuel
7709,0747-5632,1485,Computers in Human Behavior
7680,0926-3373,503,Applied Catalysis B: Environmental (formerly part of Applied Catalysis)
7675,0730-725X,4694,Magnetic Resonance Imaging
7656,0963-9969,2396,Food Research International
7635,0269-7491,2061,"Environmental Pollution (continued from Environmental Pollution Series A, Ecological and Biological and Environmental Pollution Series B, Chemical and Physical)"
7610,0378-5173,3159,International Journal of Pharmaceutics
7572,0011-9164,1726,Desalination
7572,1742-6596,9447,Journal of Physics: Conference Series
7481,0008-6223,1065,Carbon
7414,0969-806X,5879,Radiation Physics and Chemistry (formerly known as International Journal of Radiation Applications and Instrumentation. Part C. Radiation Physics and Chemistry)
7392,0925-5273,3170,International Journal of Production Economics (formerly known as Engineering Costs and Production Economics)
7388,0025-326X,4744,Marine Pollution Bulletin
7337,0022-1694,3867,Journal of Hydrology
7325,1520-6882,366,Analytical Chemistry
7284,0013-4686,1955,Electrochimica Acta
7240,0961-9534,849,Biomass and Bioenergy
7233,0021-9991,3613,Journal of Computational Physics
7229,0196-8904,2005,Energy Conversion and Management (formerly known as Energy Conversion)
7203,0092-8674,7301,Cell
7187,0959-6526,3561,Journal of Cleaner Production
7162,1369-7021,4775,Materials Today
7120,0950-0618,1509,Construction and Building Materials
7093,0168-9002,5254,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment (formerly part of Nuclear Instruments and Methods in Physics Research)"
7081,1520-5207,4168,"Journal of Physical Chemistry B, The"
7077,0927-0248,6330,Solar Energy Materials and Solar Cells (incorporating Solar Cells and Solar Energy Materials)
7000,0037-0738,6181,Sedimentary Geology
6956,0015-0282,2323,Fertility and Sterility
6937,1095-8649,3791,Journal of Fish Biology
6875,0002-9149,283,"American Journal of Cardiology, The"
6867,1523-7052,5362,Organic Letters
6826,0022-3913,4220,"Journal of Prosthetic Dentistry, The"
6704,0009-2509,1148,Chemical Engineering Science
6682,1420-682X,1112,Cellular and Molecular Life Sciences Birkhauser
6573,0167-5273,3014,International Journal of Cardiology
